Rating,Review_title,Review_comment
10,Where 5+ star hotel experience exists,"Haile Resort Hawassa is a great choice for anyone who values cleanliness, friendliness, and professional service. The resort is very well-maintained, with spotless rooms and facilities. The staff are courteous, attentive, and efficient, making sure that every guest feels welcome and satisfied. The service is excellent, from the check-in to the check-out, and everything in between. The resort also has a lot of amenities, such as a pool, a spa, a gym, and a restaurant. The location is ideal, as it is close to the lake and the city center. I had a fantastic time at Haile Resort Hawassa and I would definitely stay there again. It is a gem of a place in Ethiopia."
9,A fantastic resort with everything you need and more!,"The property was very comfortable, clean and the landscaping was impeccable. The staff was very hospitable and the food was outstanding."
9,Superb,"Great location, view, food, and facilities. The quality of Haile hotels has not disappointed me so far.
The temperature of the shower could not be regulated well, so that either boiling or ice-cold water would come out."
7,very enjoyable,"nice location, grounds were well taken care of. Staff was helpful and friendly. Lots to do for children"
8,Relaxing working weekend,"The spaces, view, atmosphere, and great comfort. The spacious balcony complements a great room with large, comfortable sofachairs and a good working space.
Lightning was effectively organised.
The gym is wel equipped and with trainer available.
The breakfast lacked healthy vegetarian options; same for the dinner menu card."
8,Very good,"Massage, location, friendly helpful staff
Jacuzzi / hot tub not working. Lots of the wines unavailable"
9,Very nice always a pleasure to stay at the Haille,"Everything
Smoking area too far away"
9,Superb,Water was out for a little while
9,perfect get away for a weekend,The staff were exceptionally friendly and helpful. The views are wonderful. We really enjoyed our stay there!
9,A great stay for some relaxing days,"I had a great stay for 2 nights at the Resort and would have loved to stay a bit longer.
My room had a great view to the lake. The area of the hotel is beautiful and I could see a lot of different birds and also a hippo mum with her small baby. The staff is really friendly and helpful. The restaurant offers good meals and there is a good spa. I also loved the area outside below the big tree for having a snack and a drink.
The Wifi was on the room quite weak."
9,Overall a wonderful stay,"Lots of options
Wished for plain scrambled eggs and bacon"
9,"Great stay, very accommodating staff.","Great place, fantastic staff. We were really made to feel welcome and the front office team went out of their way to help with some film crew meal time requests. Meals were great and there was always a large selection of both traditional and international cuisine available."
9,It was wow.,"Staffs' cooperativeness, the views"
9,Was sweet and pretty,The location is good
8,Overall very nice,Great bkfst. Great staff. Just a little noisy at night
8,Very good,"The staff committment and professional approach. Morning coffee and breakfast
Old towels"
9,highly recommended place,"it is a very welcoming place , very quite and chill , the stuff are so respectful, amazing place with very beautiful view lake . a must try"
8,Very good,"Staff kindness and cleaning services, restaurant
Wifi is poor and continuously disconnecting"
7,Perfect,"The Location was perfect and the room as i expected, the breakfast was great with a lot of varieties. The staffs were polite and welcoming."
9,Excellent stay. Very helpful and cheerful staff. Margret was exceptionally good,"The cheerful staff, the location of the hotel. The pool was not heated. A heated pool could add more value to the propert"
7,Good,"Liked the amazing nature views of this hotel, welcoming staff, room size, Airport free shuttle was a plus.
Breakfast was not good at all, no international options, bakeries were not fresh.
Couldn't get out of my room after 6 PM due to huge groups of mosquitos all over the place."
8,Very good,"Breakfast, All Staff members, Location, Entertaining facilities. There was not enough door key
We had only one room key to a family member of five for two rooms with two doors which are interconected"
9,thanks,all good
10,Perfect,"The breakfast was delicious and great. The variety of food was rich. One could select an omelet or boiled eggs, hot dishes or cold dishes, etc. Selection of fruits was rich and the freshly squeezed juices. I also loved black coffee.
The hotel staff was courteous and would go beyond to accommodate or help you."
10,Exceptional,Number 1 in Ethiopia for my heart. Respect for all
10,Exceptional,"Amazing location, very spacious and comfortable rooms, nice environment"
10,Unforgettable and Memorable,Excellent and Fantastic
10,Exceptional,I’m really happy staying Haile Resort all stuffs great coustemr service I wish staying longer I’m really happy for every. It’s great and clean.
10,Exceptional,"The pool, spa, gym, seating areas, views, staff, and the rooms were absolutely fantastic
Mekdes M and Wedeye were great servers and help!
The curtain in 2233 is a bit broken, but we made it work. The water bottles were very expensive for staying a few days. It would be very nice if those staying at the hotel could have a discount at the restaurants.
Also- it would be very nice if the pools had sitting areas in the pool! It gets very hot and it’s nice to sit in shallow water
Also- it’d be nice to have plants or something on the first floor roof. The views are so nice but the dirty roofs were a bit off putting"
10,Great Hospitality.,"Other Ethiopian hotels should learn from them.Try to make the swimming pool warm. All the facilities were best and keep it up. And it is also best for family vacation.
Cold swimming pool."
