Rating,Review_Title,Review_comment
10,Fantastic stay!,"Fantastic property never ceases to amaze us, well maintained gardens, the clean lake, the birds and the happy hippos with an exceptional service from reception, housekeeping, security and food service, Breakfast buffet is always the highlight of stays at Haile Resorts! Will come gain and again and again!"
10,Highly recommend,Staff was wonderful and accommodating. Some of us were under the weather and so supported us. Really appreciate them. The place is great. Swam on the pool. Had wine by the lake. Saw a hippo in the lake! Food tasty and comfortable room. Highly recommend.
10,Exceptional,Great setting by the lake. Staff extremely friendly. Rooms quite comfortable.
10,Great resort!,"Wonderful attentive staff, delicious breakfast and meals, and gorgeous location."
10,Love this resort!,"Excellent service, beautiful location, delicious food, and warm atmosphere."
10,Magical place,"Very good stay in the hotel. The staff is very helpful, the place is superb, the food is good and the games for children are great. The cardio machines in the gym are very old and the decoration of the restaurant is a bit old-fashionned. In conclusion, we had a good time with family in a magical setting."
10,Exceptional,Amazing stay!
10,Exceptional,"My experience at Haile resort was nothing short of exceptional. The combination of luxurious accommodations, outstanding service, and prime location made for a memorable stay. A special mention goes to Ephrem, the shuttle driver, who was exceptionally courteous and helpful, making my transfers to and from the airport seamless and enjoyable. I highly recommend this hotel to anyone visiting Awassa and look forward to returning on my next trip."
10,Exceptional,Fabulous location. Very clean
10,Exceptional,Lovely hotel with great views of the lake. Restaurant was very good and not overpriced. Very clean rooms with great showers. Staff are very very nice.
10,Excellent,The staff was very attentive to our needs and very professional.We had a great stay!The location was excellent!
10,Exceptional,Beautiful and amazing experience
10,Exceptional,"The hotel was full of very polite & friendly staff. I felt, as a white woman staying there with a black partner, that some of the female staff around the restaurant could have been more interactive & so for this reason l givecthe hotel, in general, 9 out of 10. Thankyou for looking after us!"
8,Very good,Accounting and redervation systemvery weak
10,Exceptional,"The resort is awesome. All the staff member are professionals. Every where in the resort is clean and neat! I highly recommend Haile Resort! Love HAILE RESORT! All the staff (employees) are well- educated ! They know how to treat their customer! Oh I forget to mention about the food….it’s very delicious and healthy! House keeping is number one once you left your room for breakfast the house keepers was their to clean the room! Everything you need in the room was their! All in all if you have events big or small Haile resort is their for you! It might be your birthday, anniversary, honeymoon…..the reason why I said that , I was their for my honeymoon with my beautiful wife , we have really enjoyed our honeymoon! I can’t tell you how the surprised as! They decorated our room every single day we stay there! Make a cake for our honeymoon! NOTE: Don’t get surprised all this thing is covered by Haile resort I paid only for the room! Cake, decoration of the room is freeeeeee freeeeeee!!!! So the money you gonna expend at the resort is very very cheap when you compare with the other’s!! For the safety matter Haile resort is #1 Haile resort left unforgettable memory in our honeymoon! HAILE RESORT IS NUMBER ONE IN MY BOOK! Who doesn’t not like this? 1, clean room 2, good customer service 3, Delicious and healthy food 4, safety If you consider those I mentioned above choose HAILE RESORT!! Haile resort ! Haile resort # 1 in my book Desta & DIBORA"
6,Good,Good
10,Exceptional,Exceptional
10,Exceptional,Exceptional
10,Exceptional,Exceptional
10,Exceptional,Exceptional
10,Exceptional,Exceptional
10,Exceptional,Exceptional
10,Exceptional,Exceptional
8,Very good,Very good
10,Exceptional,Exceptional
10,Exceptional,Exceptional
6,Good,Good
10,Exceptional,Exceptional
8,Very good,Very good
10,Exceptional,Exceptional
10,dream by the lake,"The staff were extremely friendly and polite. This started at the door with security and continued all the way to the free shuttle to the airport. The hotel is spotlessly clean, the toilets are constantly cleaned. The location on the lake is fantastic, see photo. The only negative point was that the restaurant, like many other restaurants in Ethiopia, uses glutamate for cooking. If you don't have a problem with that, then we can recommend the Haile Resort without reservation."
10,Exceptional,"Excellent resort, beautiful location, friendly staff!"
10,Comfortable stay and helpful staff,"Great resort, very good service, beautiful lake-side view and relaxed atmosphere."
10,Exceptional,"Excellent Hotel. Friendly and very accommodating staff. Excellent food and selection of choices at breakfast. Beautiful setting. The view of Lake Awassa from our floor was stunning--changed every time we looked out the window. There was a problem with our initial room request, but they quickly fixed things for us."
10,Exceptional,Exceptional
10,Exceptional,Exceptional
10,Exceptional,Exceptional
10,Exceptional,Exceptional
10,Exceptional hotel,"Superb hotel, amazing staff a bc delicious food... the perfect equation for a great trip. Loved everything about this hotel"
10,Exceptional,Exceptional
10,Exceptional,Exceptional
10,great views!,"Very enjoyable, comfortable resort. Nicely priced. Our first night we had our view of the lake obstructed by a beautiful tree. The resort was full that night, but the next night we were moved to another room with a spectacular view of the lake."
10,Exceptional,Beautiful view and great rooms. The hotel staff is friendly and helpful. Very child friendly atmosphere.
8,Lectures at MSc. course Wonod Genet,"Very good but the shower needed to be turn on in 30 minutes every morgning in order to get hot water ( 2nd floor, sea view), and the internet connection was extremely unstable. Stable internet connection was one of the main reason the hotel was chosen because I needed to do som home work in the afternoons."
10,Exceptional,Exceptional
8,Very good,Very good
10,Exceptional,Very nice resort right on the lake. Very friendly and helpful staff. Food in numerous varieties - there is something for everyone here. Recommended for families: huge playground with bouncy castle and small train. 30 minutes flight from Addis - ideal for a little break from the hustle and bustle of the city.
10,Exceptional,Really clean and pleasant room. The staff was extremely friendly. Beautiful scenery.
8,Great location by the lake.,"The location is just great, I had a nice view of the lake from my balcony. The boat trip in the lake offers splendid experience of seeing hippos and different type of birds living by the lake."
6,Good,There is a huge difference between good and bad staff behavior.
