Rating,Review_title,Review_comment
10,Exceptional,"Clean, great staff, delicious foods and great amenities."
10,Exceptional,Beautiful hotel and location and very helpful staff
10,Exceptional,"Lovely area, gorgeous views. Highly recommend visiting the Dorze Village, a boat ride and hiking to the springs."
10,Exceptional,Excellent service and great quality.
10,Exceptional,Nice vacation places
10,Exceptional,"Everything was very good, and professional. breakfast, SPA, massage , pool and the worker from the hotel are very polite . In general I really enjoyed my stay in Haile resort... thank you, hope to come again."
10,Exceptional,Enjoyed the Amazing view. The courteous customer atmosphere from every stuff members in the property. Starting from the Airport shuttle service all the way to our hotel stay
10,Exceptional,Clean resort with beautiful view.
8,Very good,The hotel and staff were great. Wasn’t really helpful with arranging transportation options to visit the local township. WiFi access was very unstable especially in the room
10,Exceptional,"They all super friendly, the hospitality is very amazing. and the rooms are very clean"
10,Exceptional,Amazing view!
8,Very good,Thanks.
10,Exceptional,Absolutely stunning place with exceptional customer service. Highly recommend.
10,Two thumbs up,"We absolutely loved our stay at Haile!! The view was AMAZING, the food was great and the staff were terrific. We swam in the pool everyday and enjoyed the gym as well. We were sad to leave and we will be back!"
10,Coming back for sure,We expected a lot but it was exceeded starting from friendly reception up to good management in handling minor complaints - very clean - top experience
10,THE NAME SPEAKS BY ITSELF- HAILE RESORT,"Very organized & accommodating. Thank you for the comfort & wonderful experience that we had during our stay. Infact, the name speaks by itself a lot. HAILE RESORT. Addis workessa"
10,Exceptional,Everything
10,Exceptional,Exceptional
10,Exceptional,Exceptional
10,Exceptional,Exceptional
10,Exceptional,"Very nice hotel, well equipped with a magnificent view from the pool side. The staff was very attentive to our needs, responsive and efficient. They gave me a nice surprise for my birthday. I highly recommend!"
10,Exceptional,Exceptional
10,Exceptional,Cleanliness and friendly staff
10,Exceptional,The staff were super nice
10,Wonderful visit—Loved Our Stay,"We rented a premium suite for our family of five, and added a comfortable cot for $29 a day. The two extremely comfortable adjoining rooms connected to a living area in the middle . It was worth it to pay the extra to wake up to the sunrise over the lake with the mountains. Absolutely gorgeous views. The air conditioning was a great asset, and the shower pressure was comfortably strong. The included morning buffet was great, but the a la carte menu took an hour to prepare every time, and it cost 2000ETB each time to feed five of us. While it was convenient to eat at the hotel sometimes, the food was better and cheaper at Paradise Lodge and the Tourisy Hotel."
10,Perfect ! Amazing !,"It was amazing , thanks for every one in Haile Resort ! Hope see you again !"
10,magnificent,Very professional the best service i ever get thanks
10,Exceptional,Exceptional
10,Exceptional,International standard breakfast Room cleaniness Profesional staff services
10,Exceptional,Exceptional
10,Exceptional,It's an excellent stay me and family highly recommend this to people.
10,Exceptional,We stay here frequently because we can count on excellent service and everything being in working order. It is stress free. The staff are wonderful and we like the food very much.
10,Amazing staff with stunning scenery??,We had a short but amazing stay at Haile’s Arbaminch. Very helpful staff with amazing smiles. Clean environment with breathtaking scenery from a cliff.The food tastes great. I highly recommend the lake side rooms for the best terrace view. You can’t run out of activities out there but I wish the hotel extends its guest complementary facilities as a courtesy until shuttle pickup time rather than checkout time which is 11am for a 1:30pm afternoon airport shuttle service. We are deeply satisfied; and proud to recommend this hotel.
8,Very good,"Great view of Abaya and Chamo lakes, good restaurant, cleanness of the property."
10,Exceptional,Beautiful view. Super clean. Everything worked. Great shower in bathroom. Delicious food. We love staying here.
10,Exceptional,"This hotel has international standards, services, amenities including the spa. The food was superb and had variety. The location of the hotel is scenic overlooking the lake, hills and lash forest... A good getaway location away from busy cities."
10,Exceptional,"I am mesmerised by this perfect Hotel with heavenly kind of customer service. the only thing I can say is God bless the whole staff at Haile Resort, keep up the nice service."
6,Good,"The spa is really good and the people working in the spa department did a really good job. In generally all employees working in this property treat their customers really good. BUT they were out of some room aminities like shampoo, rooth paste, shower cup and some more. We are paying a lot but doesnt even get the basic aminities. Additionally the food in most of the haile resorts doesnt taste really good but it ua over priced. He need to work on that on most of his resturants."
10,Exceptional,Great staff. This hotel is the best and most respectful by far. They accommodate all needs for customers. I love them!
10,Room was spacious and clean. Staff vary friendly,"Room was spacious and clean. Staff very friendly and helpful. Hotel is in a good location, close to restaurants and other amenities."
10,Exceptional,"Haile Resort ,It was excellent in every sense!"
