Rating,Review_title,Review_comment,Sentiment
5,Exceptional, All Staffs of Haile Grand are amazing ?? Thanking you all for your Hospitality and professionalism. My Special Acknowledgment go to Mesfin Beza Bitania Helina Yidenek,Positive
5,Exceptional,The staff were friendly and fluent in English,Positive
5,Exceptional,"The Haile Grand is truly a grand establishment. I highly recommend booking a stay on your next trip to Addis Ababa. The staff was so friendly and helpful, the food was delicious, and the atmosphere was relaxing.",Positive
5,Really great place to stay,Great staff and great environment. Food and breakfast is really good!,Positive
5,Exceptional,All around grand.,Positive
5,Exceptional,"This property is the cleanest property I have stayed in in Addis Ababa. The hotel staff are always ready to assure comfort and the rooms are very comfortable, no stuffy carpets, crisp white linen and freshness. Unbelievably clean for a hotel in Addis. I strongly recommend it any day.",Positive
5,Exceptional,"Simple but tasteful decor and ambience, excellent and helpful staff, wonderful amenities!",Positive
5,Exceptional,Beautiful hotel with friendly and efficient staff,Positive
5,Exceptional,The staff was super kind and helpful. Lovely spot to stay!,Positive
5,Exceptional,My stay was perfect,Positive
5,Exceptional,"The staff all staff was very helpful with info about Addis Ababa musuems, where to eat and other things to see and do. If I return it is the only hotel I would stay. First class Hotel...",Positive
5,Exceptional,"The staff are super friendly and helpful. The location is good, great views across Addis",Positive
5,Excellent,"Room was clean, staffs were friendly Breakfast buffet was impressive all in all I had a wonderful time.",Positive
4,Very good,"Awesome,Lovely calm property",Positive
5,Exceptional,"very beautiful hotel , excellent customer service , very delicious breakfast buffet , best Morocco , steam and sunna experience , canÂt wait to come back soon , nigussie alemu",Positive
5,Exceptional,Great customer service and very clean. The food was amazing and so much to choose from. I would be happy to go back there??,Positive
5,Exceptional,The elevator is not working most of the time and it wasnÂt nice for an old man like me other than that the staff wonderful and professional love them all,Positive
5,Exceptional,"The property is brand new, only a few months old. That being said, the property is clean, organized, and inviting. Every single staff member is amazingly friendly, gracious, and ready to assist in any way they can! The swimming pool is beautiful, and a high standard of cleanliness is maintained. It was difficult to believe that you are in such a densely populated city.",Positive
5,Exceptional,"Loved this place! Staff are so friendly and professional. Room was gorgeous. Grounds are lovely. Pool area and wellness Center were clean and well organised. The only disappointment was my dinner. I sat in the bar area and my food came and it was cold and I didnÂt like it. I am not a picky eater and have eaten lots of great Ethiopian food. The sandwich had a sauce on it that tasted terrible. They wanted to replace it but I was not longer hungry. They offered me a plate of fruit which was very nice. BUT, when the bill came, they had charged me for the meal! I tried to discuss it with the server and he refused to even take 1/2 the amount. DonÂt let this discourage you from enjoying this place. I just had a bit of bad luck!",Positive
5,Exceptional,"I recently had the pleasure of spending two nights at the Haile Grand Addis Ababa hotel, and I am compelled to share the exceptional experience I enjoyed during my stay. From the moment I arrived, the hotel's ambiance exuded sophistication and warmth. The staff's welcoming demeanor set the tone for a stay characterized by genuine hospitality. The check-in process was seamless, and the attention to detail was evident in every aspect of the hotel's design and decor. One of the standout features of my stay was undoubtedly the culinary experience. The food at Haile Grand Addis Ababa surpassed all expectations, offering a diverse and delectable menu that showcased the finest in local Ethiopian and international cuisine. Each meal was a culinary masterpiece, a testament to the skill and creativity of the chefs. Whether it was breakfast, lunch, or dinner, every dish was a delightful exploration of flavors. The level of service provided by the hotel staff was truly commendable. From the concierge to the housekeeping team, everyone demonstrated a commitment to excellence. The staff's attention to my needs and their prompt and courteous responses created an environment where I felt genuinely cared for throughout my stay. The accommodations were nothing short of luxurious. My room was tastefully decorated, offering a perfect blend of comfort and style. The attention to cleanliness and the inclusion of thoughtful amenities contributed to a restful and indulgent experience. Moreover, the",Positive
5,Exceptional,,Positive
5,Exceptional,,Positive
5,Exceptional,,Positive
3,Good,,Positive
5,Exceptional,,Positive
4,Very good,,Positive
5,Exceptional,Very courteous and friendly service. Nice spa facilities. Delicious breakfast,Positive
5,My stay at the Haile Grand Addis was a truly memorable experience for my first visit to Ethiopia.,"My stay at the Haile Grand Addis Hotel was nothing short of exceptional. From the opulent decor to the impeccable service, every aspect exuded luxury. The rooms offered great views including great views of Addis Ababa at night, complemented by indulgent amenities that truly enhanced the experience. For anyone seeking a blend of comfort and sophistication, the Haile Grand Addis Hotel is the perfect choice, offering unparalleled value for a luxurious stay.",Positive
5,It was amazing! Great location and friendly staff. Beautiful rooms,"Our stay at Haile Grand was more than a stay, it was an experience. The staff were so friendly, they helped us book taxis, there was a traditional dance group for the evening, the rooms are amazing and we definitely enjoyed our stay. I would highly recommend Haile Grand",Positive
5,"You, feel, welcomed, with great smiles. Their customer services is one of the best. The all time are there to make your","Beautiful, very modern and still charming of old building. Very spacious in bright feels luxurious and safe. Once you are outside the hotel feels bit unsafe. This luxury is building is the opposite reality what regular Ethiopian go through..So, area can feel unsafe, however ethopian people are extremely friendly and very welcoming",Positive
5,"I had the best time, staying at this hotel, everyone are very friendly, welcoming, respectful, willing go above and beyo","The hotel is beautiful, from decoration to layout of the rooms, lighting and very spacious. Extremely clean. You, feel very secure. The steps going up to spa are can be challenging if you are tired. However, it can keep you fit. DonÂt need to go to the gym.",Positive
5,it was a exelet stay.,"the location , customer service, brekafast and staff",Positive
5,Exceptional,Everything absolutely lovely place customer experience 11/10. Elevator was a bit worrying,Positive
4,Good experience but for the cost of staying there IÂd rather go to another property,"Amazing location, cleanliness, staff, sauna and steam rooms, pool. Rooms were great, view is great from rooms. Staff were outstanding. Food taste couldÂve been better. Tasted bland and for the price the property charges youÂd expect the meal to be exceptional but it fell short. My significant other had a terrible experience at the spa for a message session booked with their spa team. We explained our experience to them and the attempted to recover with a free supper experience but as mentioned above the meal just falls short every time. It really bothers me to write this cause the staff is so kind and tentative so I have to give them the credit for trying.",Positive
5,Exceptional,Try to make Indian food. Also provide smoking rooms for smokers if requested. Without balcony is not good,Positive
4,Great hotel with great staff and good value for money,Great welcoming and helpful staff. Noisy construction works next door Intermittent power cuts on one day during stay,Positive
4,Too much noise by the house keeping staff early in the morning,the front desk employes,Positive
5,Enjoyed our stay,Customer service. Clean,Positive
5,Exceptional,"When we talk about Haile hotel and resorts we talk about the staffs. The staff were friendly, and the room was beyond comfortable."" JUST AMAZING !!!",Positive
5,Exceptional,Hotel Is very good and clean and Good restaurant and food,Positive
5,My stay was lovely and awesome,The property was very clean. Staff was very helpful. The food was good. Whatever you asked for you were commentated with.,Positive
5,Very good. We loved our stay after 3 weeks of voluntary work in Ethiopia,Everything,Positive
5,Exceptional,Outstanding. The local dish is a bonus,Positive
5,Hospitality in real,There hospitality is beyond my expectations. Keep up the good work Hale's. ,Positive
4,satisfying,"Breakfast was full of amazing food, both rich in quantity and taste. It was beyond my expectation.",Positive
4.5,The staff very careful and helpful,At all is good. The lift very slow and scary,Positive
5,My stay at Haile Grand Addis was Lovely. The room was comfortable and clean and the meals were great,The breakfast was good. a variety to choose from,Positive
4.5,"Nice stay, best place to stay in Addis","I recently had the pleasure of staying at the Haile Grand Addis Hotel, and I must say, it exceeded all my expectations. From the moment I arrived, I was impressed by the excellent service provided by the staff. Not only were they professional and attentive, but they also seemed genuinely happy to be working there, which created a warm and welcoming atmosphere throughout my stay. One aspect that particularly stood out to me was the cleanliness of the hotel. The rooms were immaculate, and the common areas were always well-maintained. It's evident that the hotel takes great pride in ensuring a high standard of cleanliness for its guests. Furthermore, I was impressed by the availability and willingness of the staff to assist with any requests or inquiries. Whether it was the shuttle driver who ensured smooth transportation, the room service staff who provided prompt and delicious meals, the receptionist who was always helpful and accommodating, or the cleaners who kept the rooms spotless, everyone went above and beyond to ensure a comfortable and enjoyable stay. The Haile Grand Addis Hotel truly provides international tourism standards that rival many other places I've stayed in Addis Ababa. It's evident that they prioritize the satisfaction of their guests, and it shows in every aspect of their service. Overall, my experience at Haile Grand Addis Hotel was exceptional, and I would not hesitate to return or recommend it to others. If you're looking for a hotel that combines excellent service, cleanliness, and genuine hospitality, this is the place to stay.",Positive
4.5,"Great place to stay, I would stay again","Location an view were great. The staff was exceptional. The spa with barber, excercise, massage, etc. were great as was the pool. The food was good but not exceptional. The soups were good",Positive
5,My best experience with Hile Grand,".Everything. From entering the hotel until we checked out
The hotel location The entire staff customers service The rooms cleanness and the Restaurant food was excellent. For sure we will come back.",Positive
4.5,It was worth it!,The warm welcome. The complementary services. The breakfast. Some elevator issues,Positive
5,My family has enjoyed everything,Excellent staff and excellent food.,Positive
5,Exceptional,Excellent Staff,Positive
5,"We had a fantastic time at Haile Grand Addis Ababa Resort, highly recommended!","We love the breakfast; there is a variety of delicious food selections that suit your taste. Also, make sure to visit Alem Elfegn/??? ???? for an enjoyable experience with Ethiopian traditional food, coffee, tej/??, and the addition of Ethiopian traditional music and dances/?????. The location is perfect, and all the staff members were kind, providing wonderful service during our stay.",Positive
4.5,cool,fitness. restaurant could have more european menu,Positive
5,Exceptional,"The hotel was the perfect chose! On coming back in the evening I had a feeling of coming home - that's how welcoming the atmosphere is! I liked that the hotel has everything one needs: restaurants, amazing RockView Cafe, swimming pool and so on. Special appreciation for beautiful fresh flowers everywhere.",Positive
5,Exceptional,The breakfast was great and the staff was amazing.,Positive
4.5,stop-over for airport travel,"nice hotel, friendly helpfull staff",Positive
4,Very good,"Staff, Service, Facilities, Spa, Swimming pool, Room, Arrival, Check out, Traditional restaurant
Breakfast presentation at the room",Positive
5,Excellent world class facility and service.,Very clean and well lit facility. Incredibly friendly staff. Great food choice. Well thought use of the landscape. The lifts need fixing or upgrading.,Positive
4.5,Worth staying many more times,"Staff, Small swimming pool",Positive
4.5,Amazing,"The staff professionalism, kindness and readiness to help was notable. Particularly a staff by the name Yemi at the front office. She served with a smile, got me all the help I needed; everyday! She went way up and above to make sure my stay was amazing.",Positive
